,id,name,type,description,orbit
10,6237,Sentinel-1D,Earth Science,"Sentinel-1D carries an advanced radar technology to provide an all-weather, day-and-night supply of imagery of Earth’s surface as part of the Sentinel-1 constellation.","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
11,7022,CO3D & MicroCarb,Earth Science,CO3D is a CNES-Airbus Defence & Space constellation of four small satellites designed to map the globe in 3D from low Earth to serve public and private sector needs. Microcarb is a small satellite designed to map sources and sinks of carbon dioxide (CO2)—the most important greenhouse gas — on a global scale.,"{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
12,7519,Artemis III,Human Exploration,"Artemis III is the second crew mission as part of the Artemis program. Artemis III will send a crew of 4 on a Low Earth Orbit mission, with the Orion rendezvous and dock with one or both commercial lunar landers in development by SpaceX and Blue Origin, performing in-space tests of the docked vehicles, integrated checkout of life support, communications, and propulsion systems, as well as tests of the new Extravehicular Activity (xEVA) suits.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
13,1113,Starliner-1,Human Exploration,"Starliner-1 is the first operational flight of a Starliner spacecraft to the International Space Station as part of NASA's Commercial Crew Program. Due to problems with the Starliner spacecraft's RCS attitude control system during the Crew Flight Test mission in 2024, this mission has been re-scoped to not carry a crew by NASA. It will instead deliver necessary cargo to the orbital laboratory and allow in-flight validation of the system upgrades implemented following the Crew Flight Test mission last year.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
14,6343,Artemis II,Human Exploration,"Artemis II is the first crewed mission as part of the Artemis program. Artemis II will send a crew of 4 - 3 Americans and 1 Canadian around the moon and return them back to Earth.

The mission will test the core systems of NASA's Orion spacecraft including the critical life support system, among other systems which could not be tested during Artemis I due to the lack of crew onboard.","{'id': 9, 'name': 'Lunar flyby', 'abbrev': 'Lunar flyby', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
15,6519,Dream Chaser CRS 2 Flight 1,Test Flight,"First flight of the Dream Chaser Spaceplane, on a free-flying mission in Low Earth Orbit.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
16,5941,Gaganyaan-2,Test Flight,Second uncrewed orbital test flight of the Gaganyaan capsule.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
17,5942,Gaganyaan-4,Human Exploration,First crewed flight of the Gaganyaan capsule.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
18,5940,Gaganyaan-1,Test Flight,First uncrewed orbital test flight of the Gaganyaan capsule.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
19,6365,OTV-8 (X-37B) (USSF-36),Government/Top Secret,"Eighth flight of the X-37B program. 

The X-37B is a dynamic and responsive spacecraft responsible for conducting a range of tests and experiments that expedite the development of critical next-generation technologies and operational concepts for reusable space capabilities.

The OTV-8 mission in Low Earth Orbit includes operational demonstrations and experiments of next-generation technologies, including laser communications and the highest performing strategic grade quantum inertial sensor ever tested in space. Mission partners include the Air Force Research Lab and the Defense Innovation Unit, respectively.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
20,6565,Axiom Space Mission 5,Tourism,This is a Crew Dragon flight for a private company Axiom Space. The mission will carry a professionally trained commander alongside three private astronauts to and from the International Space Station for a month.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
21,7017,Soyuz MS-28,Human Exploration,"Soyuz MS-28 will carry three cosmonauts and one astronaut to the International Space Station aboard the Soyuz spacecraft from the Baikonur Cosmodrome in Kazakhstan. The crew consists of Roscosmos cosmonauts Sergei Kud-Sverchkov, Sergei Mikayev and Oleg Platonov.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
22,7019,Progress MS-32 (93P),Resupply,Progress resupply mission to the International Space Station.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
23,7150,Shenzhou 21,Human Exploration,Tenth crewed flight to the Chinese space station.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
24,6266,Dragon CRS-2 SpX-35,Resupply,"35th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.

Cargo Dragon 2 brings supplies and payloads, including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
25,7195,Gaganyaan-3,Test Flight,Third uncrewed orbital test flight of the Gaganyaan capsule.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
26,6041,Crew-11,Human Exploration,SpaceX Crew-11 is the eleventh crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
27,6264,Dragon CRS-2 SpX-33,Resupply,"33rd commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.

Cargo Dragon 2 brings supplies and payloads, including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.

The CRS SpX-33 Mission will be the first mission including a boost module inside the dragons trunk for ISS orbit raising.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
28,6270,Cygnus CRS-2 NG-23 (S.S. William “Willie” C. McCool),Resupply,This is the 23rd flight of the Northrop Grumman's uncrewed resupply spacecraft Cygnus and its 22nd flight to the International Space Station under the Commercial Resupply Services contract with NASA.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
29,7288,Flight 11,Test Flight,11th test flight of the two-stage Starship launch vehicle.,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
30,7257,NS-34,Tourism,NS-34 is the 14th crewed flight for the New Shepard program and the 34th in its history.,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
31,7277,NS-35,Suborbital,"NS-35 is the 35th flight for the New Shepard program. This flight will fly more than 40 scientific and research payloads to space and back, including 24 experiments from NASA’s TechRise Student Challenge and payloads for Johns Hopkins Applied Physics Laboratory, Oklahoma State University, University of Florida, Carthage College, University of Central Florida, Teledyne, Space Lab Technologies, and Teachers in Space, among others.","{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
32,7245,Soyuz MS-29,Human Exploration,"Soyuz MS-29 will carry three cosmonauts and one astronaut to the International Space Station aboard the Soyuz spacecraft from the Baikonur Cosmodrome in Kazakhstan. The crew consists of Roscosmos cosmonauts Pyotr Dubrov and Anna Kikina, as well as NASA astronaut Anil Menon.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
33,7301,Flight 12,Test Flight,"12th test flight of the two-stage Starship launch vehicle. Maiden Flight of Starship V3.

The flight test’s primary goal will be to demonstrate each of these new pieces in the flight environment for the first time, with each element of the Starship architecture featuring significant redesigns to enable full and rapid reuse that incorporate learnings from years of development and test.

The Starship upper stage will target multiple in-space and reentry objectives, including a payload deployment of 20 Starlink simulators, similar in size to next-generation Starlink V3 satellites, and two specially modified Starlink satellites. The two modified satellites will test hardware planned for Starlink V3 and will attempt to scan Starship’s heat shield and transmit imagery down to operators to test methods of analyzing Starship’s heat shield readiness for return to launch site on future missions. Several tiles on Starship have been painted white to simulate missing tiles and serve as imaging targets in the test. The Starlink simulators will be on the same suborbital trajectory as Starship. A relight of a single Raptor engine while in space is also planned.

For Starship entry, a single heat shield tile has been intentionally removed to measure the aerodynamic load differences on adjacent tiles when there is a tile missing. Finally, the ship will perform experimental actions tested on previous flight tests, including a maneuver to intentionally stress the structural limits of the vehicle’s rear flaps and a dynamic banking maneuver to mimic the trajectory that future missions returning to Starbase will fly.","{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
34,7358,NS-37,Tourism,NS-37 is the 16th crewed flight for the New Shepard program and the 37th in the New Shepard program's history.,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
35,7236,Flight 10,Test Flight,10th test flight of the two-stage Starship launch vehicle.,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
36,7321,NS-36,Tourism,NS-36 is the 15th crewed flight for the New Shepard program and the 36th in the New Shepard program's history.,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
37,5860,HTV-X1,Resupply,First flight of the upgraded Japanese HTV-X spacecraft designed to resupply the International Space Station.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
38,7397,Shenzhou 22,Human Exploration,"Shenzhou 22 (Chinese: 神舟二十二号) will be the 22nd flight of the Shenzhou program. The spacecraft will be launched without crew to replace Shenzhou 20 that was damaged by orbital debris on the descent module porthole window, and thus deemed unsuitable for crew re-entry. The spacecraft will later return three Chinese astronauts on the 10th flight to the Chinese Space Station back to Earth, after launching on Shenzhou 21.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
39,7502,Chinese Reusable Space Vehicle,Government/Top Secret,4th flight of the Chinese spaceplane capable of returning to Earth.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
40,7472,NS-38,Tourism,NS-38 is the 17th crewed flight for the New Shepard program and the 38th in the New Shepard program's history.,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
41,7491,Shenzhou 23,Human Exploration,Shenzhou 23 will be the 23rd flight of the Shenzhou program.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
42,6042,Crew-12,Human Exploration,SpaceX Crew-12 is the twelfth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
43,7450,Progress MS-34 (95P),Resupply,Progress resupply mission to the International Space Station.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
44,7020,Progress MS-33 (94P),Resupply,Progress resupply mission to the International Space Station.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
45,6271,Cygnus CRS-2 NG-24 (S.S. Steven R. Nagel),Resupply,This is the 24th flight of the Orbital ATK's uncrewed resupply spacecraft Cygnus and its 23rd flight to the International Space Station under the Commercial Resupply Services contract with NASA.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
46,6043,Crew-13,Human Exploration,SpaceX Crew-13 is the thirteenth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
47,7607,Tianzhou-10,Resupply,Ninth cargo delivery mission to the Chinese space station.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
48,6265,Dragon CRS-2 SpX-34,Resupply,"34th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.

Cargo Dragon 2 brings supplies and payloads, including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
49,7470,Flight 13,Test Flight,"13th test flight of the two-stage Starship launch vehicle. Second flight of Starship V3.

For the first time, Starship will carry 20 V3 Starlink satellites to space, which will extend solar arrays and antennas and will attempt to connect with ground stations in South Africa and the larger Starlink constellation via high-capacity lasers. 

6 of the satellites have been modified with a suite of cameras to scan Starship’s heat shield and transmit imagery down to operators to continue testing methods of analyzing Starship’s heat shield readiness for return to launch site on future missions. Several tiles on Starship have been painted white to simulate missing tiles and serve as imaging targets in the test.","{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
50,6670,Amazon Leo (KF-02),Communications,"Second of a three launches contract for Amazon's Kuiper low Earth orbit satellite internet constellation, with 24 satellites on board.

Amazon Leo, formerly known as Project Kuiper, is a mega constellation of satellites in Low Earth Orbit that will offer broadband internet access, this constellation will be managed by Kuiper Systems LLC, a subsidiary of Amazon. This constellation is planned to be composed of 3,276 satellites. The satellites are projected to be placed in 98 orbital planes in three orbital layers, one at 590 km, 610 km and 630 km altitude.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
51,5920,Metop-SG A1,Earth Science,First of EUMETSAT's second generation of Metop weather satellites.,"{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
52,1141,USSF-106,Government/Top Secret,"USSF-106 is a mission for the United States Space Force. The launch will deploy various payloads directly into geosynchronous orbit, including the NTS-3 (Navigation Technology Satellite 3), a demonstration navigation satellite testing a new digital signal generator that can be reprogrammed on-orbit to broadcast new signals, improve performance by avoiding and defeating interference, and adding signatures for detecting spoofing attacks.","{'id': 3, 'name': 'Geosynchronous Orbit', 'abbrev': 'GSO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
53,7270,SatNet LEO Group 08,Communications,"A batch of 10 Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.

The constellation will eventually consists of 13000 satellites.","{'id': 13, 'name': 'Polar Orbit', 'abbrev': 'PO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
54,7260,Starlink Group 17-4,Communications,A batch of 24 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
55,7264,Starlink Group 10-20,Communications,A batch of 28 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
56,7271,4 x SatNet test satellites,Communications,"Officially described as ""Satellite-Internet Technology Demonstration Satellite(s)"".

Probably 4 test satellites for the Chinese state-owned LEO communication satellite constellation SatNet.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
57,7274,Shiyan 28 B-02,Government/Top Secret,"Satellite officially named for ""space environment detection"" purposes, exact details unknown.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
58,7273,SatNet LEO Group 09,Communications,"A batch of 5 Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.

The constellation will eventually consists of 13000 satellites.","{'id': 13, 'name': 'Polar Orbit', 'abbrev': 'PO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
59,7266,Starlink Group 17-5,Communications,A batch of 24 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
60,7272,7 satellites,Technology,"A share ride mission of 7 various Earth observation and technological demonstration satellites:

* AIRSAT-05/Haishao-2
* Tianyan 26
* Duogongneng Shiyan-2 01-03
* ThumbSat-1/2 (Mexico)","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
61,6637,Bion-M No. 2,Biology,"Bion-M is the next generation of Russian biological research satellites. While retaining the Vostok/Zenit-derived reentry module of the earlier Bion, the propulsion module has been replace by a Yantar type module, which provides maneuvering capabilities and longer mission support. The mission duration has been increased to up to 6 months by using solar cells for energy generation. The weight of scientific equipment has been increased by 100 kilograms.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
62,7275,Kosmos 2591-2594,Government/Top Secret,4 classified satellites for the Russian military.,"{'id': 13, 'name': 'Polar Orbit', 'abbrev': 'PO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
63,6365,OTV-8 (X-37B) (USSF-36),Government/Top Secret,"Eighth flight of the X-37B program. 

The X-37B is a dynamic and responsive spacecraft responsible for conducting a range of tests and experiments that expedite the development of critical next-generation technologies and operational concepts for reusable space capabilities.

The OTV-8 mission in Low Earth Orbit includes operational demonstrations and experiments of next-generation technologies, including laser communications and the highest performing strategic grade quantum inertial sensor ever tested in space. Mission partners include the Air Force Research Lab and the Defense Innovation Unit, respectively.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
64,7267,Starlink Group 17-6,Communications,A batch of 24 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
65,7278,"Live, Laugh, Launch (Calistus A-E)",Communications,"'Live, Laugh, Launch' is the second of two dedicated missions on Electron for a confidential customer in 2025. This mission deployed 5 satellites to a 655 km circular Earth orbit identified as “Calistus A to E”, identified as most likely for Low Earth Orbit communication satellite constellation operator E-Space.","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
66,6264,Dragon CRS-2 SpX-33,Resupply,"33rd commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.

Cargo Dragon 2 brings supplies and payloads, including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.

The CRS SpX-33 Mission will be the first mission including a boost module inside the dragons trunk for ISS orbit raising.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
67,7276,SatNet LEO Group 10,Communications,"A batch of 9 Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.

The constellation will eventually consists of 13000 satellites.","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
68,6777,NAOS,Government/Top Secret,"NAOS (National Advanced Optical System) is the space component of Luxembourg's governmental dual-use observation satellite system LUXEOSys (Luxembourg Earth Observation System). Its purpose is to provide high resolution images to national and international governmental and military organizations such as NATO.

The 800 kg satellite is built by OHB Italia and is equipped with a very high-resolution optical camera with a ground reolution of 50 cm in an around 450 km high sun-synchronous orbit. It will have a operational life time of 7 years.

Also on board the launch is Dhruva Space's LEAP-1; Planet's Pelican-3 and Pelican-4; and Exolaunch’s Acadia-6, FFLY-1, FFLY-2, and FFLY-3.","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
69,7236,Flight 10,Test Flight,10th test flight of the two-stage Starship launch vehicle.,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
70,7279,Starlink Group 10-56,Communications,A batch of 28 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,"{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO', 'celestial_body': {'response_mode': 'list', 'id': 1, 'name': 'Earth'}}"
